source_path,reason_for_exclusion,file_size_mb,suggested_public_alternative
input/gse268807_astrocyte_pilot/raw_suppl/GSE268807_G133_N_FL_barcodes.tsv.gz,excluded because extension .gz is not suitable for lightweight public GitHub release,0.091,Use source accession or rerun scripts; see environment_notes.md and results/audit.
input/gse268807_astrocyte_pilot/raw_suppl/GSE268807_G133_N_FL_features.tsv.gz,excluded because extension .gz is not suitable for lightweight public GitHub release,3.132,Use source accession or rerun scripts; see environment_notes.md and results/audit.
input/gse268807_astrocyte_pilot/raw_suppl/GSE268807_G133_N_FL_matrix.mtx.gz,excluded because file is larger than 50 MB,400.082,"Use public accession, source database download, or processed summaries included in this release."
input/gse268807_astrocyte_pilot/source_metadata/GSE268807_family.soft.gz,excluded because extension .gz is not suitable for lightweight public GitHub release,0.005,Use source accession or rerun scripts; see environment_notes.md and results/audit.
logs/01_grn.log,excluded because extension .log is not suitable for lightweight public GitHub release,0.001,Use source accession or rerun scripts; see environment_notes.md and results/audit.
logs/02_ctx.log,excluded because extension .log is not suitable for lightweight public GitHub release,1.624,Use source accession or rerun scripts; see environment_notes.md and results/audit.
logs/03_aucell.log,excluded because extension .log is not suitable for lightweight public GitHub release,0.000,Use source accession or rerun scripts; see environment_notes.md and results/audit.
output/auc_mtx.csv,excluded because file is a large derived matrix or adjacency intermediate,4.089,Use included processed summaries and scripts; regenerate locally if needed.
output/grn_adj.tsv,excluded because file is larger than 50 MB,204.659,"Use public accession, source database download, or processed summaries included in this release."
robustness_validation/03_pseudobulk_expression_matrix.csv,excluded because file is a large derived matrix or adjacency intermediate,2.400,Use included processed summaries and scripts; regenerate locally if needed.
scripts/__pycache__/assess_external_validation_candidates.cpython-311.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.019,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/__pycache__/build_external_validation_h5ad.cpython-311.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.031,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/__pycache__/build_external_validation_round2_h5ad.cpython-311.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.023,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/__pycache__/build_round1_report_docx.cpython-311.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.035,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/__pycache__/build_round2_minimal_expression_for_4tf_auc.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.007,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/__pycache__/check_celloracle_input_compat.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.007,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/__pycache__/check_round2_pyscenic_readiness.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.006,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/__pycache__/compare_regulons_by_group.cpython-311.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.018,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/__pycache__/export_round2_for_pyscenic.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.005,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/__pycache__/inspect_h5ad_structure.cpython-311.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.008,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/__pycache__/merge_round2_auc_to_h5ad.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.003,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/__pycache__/plot_pyscenic_overview.cpython-311.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.010,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/__pycache__/prepare_celloracle_first_round.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.014,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/__pycache__/pyscenic_analysis_common.cpython-311.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.017,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/__pycache__/run_celloracle_in_silico_ko_round1.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.015,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/__pycache__/run_external_validation_round1.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.024,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/__pycache__/run_external_validation_round2.cpython-311.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.039,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/__pycache__/run_external_validation_round2_regulon.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.019,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/__pycache__/run_external_validation_single_group_support.cpython-311.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.029,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/__pycache__/run_round2_aucell_projection_4tf.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.004,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/__pycache__/run_round2_pyscenic_pipeline.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.006,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/__pycache__/screen_celloracle_candidate_tfs.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.013,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/__pycache__/summarize_celloracle_ko_round1.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.017,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/__pycache__/summarize_group_compare_results.cpython-311.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.019,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/__pycache__/update_report_with_round2_regulon_validation.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.007,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/__pycache__/update_round1_report_with_round2_validation.cpython-311.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.012,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/__pycache__/update_route2_plan_docx_current.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.021,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/drug_repositioning/archive/legacy_v1_scripts/__pycache__/01_check_drugrep_inputs.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.003,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/drug_repositioning/archive/legacy_v1_scripts/__pycache__/02_run_dsigdb_enrichr.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.004,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/drug_repositioning/archive/legacy_v1_scripts/__pycache__/03_aggregate_compounds.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.004,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/drug_repositioning/archive/legacy_v1_scripts/__pycache__/04_import_swissadme_csv.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.013,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/drug_repositioning/archive/legacy_v1_scripts/__pycache__/04_prepare_bbb_swissadme.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.005,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/drug_repositioning/archive/legacy_v1_scripts/__pycache__/05_integrate_drugrep_results.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.009,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/drug_repositioning/archive/legacy_v1_scripts/__pycache__/06_prepare_optional_docking.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.003,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/drug_repositioning/archive/legacy_v1_scripts/__pycache__/07_make_drugrep_master_summary.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.005,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/drug_repositioning/archive/legacy_v1_scripts/__pycache__/drugrep_common.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.018,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/drug_repositioning/archive/legacy_v1_scripts/__pycache__/run_all_drug_repositioning.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.001,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/drug_repositioning/archive/legacy_v1_scripts/__pycache__/run_continue_after_bbb_manual_review.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.006,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/drug_repositioning/archive/legacy_v1_scripts/__pycache__/run_until_bbb_manual_review.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.009,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/functional/__pycache__/00_revise_robustness_terms.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.006,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/functional/__pycache__/01_check_resources.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.003,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/functional/__pycache__/02_build_tf_gene_sets.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.004,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/functional/__pycache__/03_run_go_kegg.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.004,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/functional/__pycache__/04_program_convergence.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.006,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/functional/__pycache__/05_make_functional_master_summary.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.004,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/functional/__pycache__/functional_common.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.011,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/functional/__pycache__/run_all_functional_interpretation.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.001,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/manuscript_figures/__pycache__/build_fig1_main_v3_study_design.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.016,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/manuscript_figures/__pycache__/build_fig1_main_v4_study_design.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.016,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/manuscript_figures/__pycache__/build_fig2_main_v31_regulon_landscape.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.030,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/manuscript_figures/__pycache__/build_fig2_main_v32_regulon_landscape.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.030,Use source accession or rerun scripts; see environment_notes.md and results/audit.
scripts/manuscript_figures/__pycache__/build_fig2_main_v3_regulon_landscape.cpython-310.pyc,excluded because extension .pyc is not suitable for lightweight public GitHub release,0.029,Use source accession or rerun scripts; see environment_notes.md and results/audit.
