compound,normalized_compound_name,associated_axis,axis_assignment_score,axis_assignment_margin,axis_counts,supporting_query_sets,support_count,support_count_main_axes,main_supporting_gene_set,main_supporting_gene_set_score,best_adjusted_p,best_combined_score,best_rank,best_term,best_library,indicative_mechanism,indicative_drug_class,mechanism_interpretability_score,translational_caution_category,translational_suitability_score,include_in_main_axis_pool,note,enrichment_support_score,cross_signature_score,axis_relevance_score,axis_assignment_confidence_score,final_score_prebbb,main_table_exclusion_reason,main_table_eligible,weak_fdr_retained_reason,final_priority_tier,BBB_layer,BBB_score,BBB_note,translational_interpretation,tool_compound_like,broad_epigenetic_modulator_like,weak_fdr_manual_review,low_cns_epilepsy_relevance,axis_preference,notes,was_v2_top_priority_clue,weighted_pre_penalty_score_v21,v21_component_enrichment_support_score,v21_component_cross_signature_score,v21_component_axis_relevance_score,v21_component_mechanism_interpretability_score,v21_component_translational_suitability_score,v21_component_axis_assignment_confidence_score,weak_fdr_penalty_value,single_signature_penalty_value,tool_compound_penalty_value,low_cns_epilepsy_relevance_penalty_value,total_penalty_v21,final_score_v21,v21_penalty_reasons,lead_layer_v21,v21_evidence_tier,v21_layer_reason
nifedipine,nifedipine,THRB,0.5219778746119514,0.5219778746119514,THRB:2,THRB_core_program;THRB_regulon_targets,2,2,THRB_core_program,0.1579531900974611,0.1892268319389974,130.1173367501014,24,nifedipine TTD 00009669,DSigDB,calcium/synaptic,calcium/synaptic,1.0,mechanistically_interpretable_modulator,0.75,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.0596190706934628,1.0,1.0,1.0,0.6828857212080388,,True,THRB gene set 较小；FDR 较弱但具轴线/机制支持，保留为 manual_review_weak_fdr。,manual_review_weak_fdr,pending_manual_swissadme,,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 THRB internal_control-associated synaptic/calcium/homeostatic-supportive program 的探索性候选线索，不解释为直接激动 THRB 即治疗。,False,False,True,False,THRB,THRB weak-FDR 或弱 FDR 手工复核候选。,False,0.7469238141386926,0.01192381413869256,0.18,0.16,0.08,0.195,0.12,0.12,0.0,0.0,0.0,0.12,0.6269238141386926,weak_fdr,retained_full_list,supplementary,保留在 supplementary/retained full list；未达到 v2.1 primary 或 supportive 门槛。
dipyridamole,dipyridamole,THRB,0.5052586774879089,0.5052586774879089,THRB:2,THRB_core_program;THRB_regulon_targets,2,2,THRB_core_program,0.1576989929327775,0.1995682971117345,76.2779330882361,33,dipyridamole,DSigDB,phosphodiesterase/cAMP,phosphodiesterase/cAMP,1.0,mechanistically_interpretable_modulator,0.75,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.0327133836408598,1.0,1.0,1.0,0.6748140150922579,,True,THRB gene set 较小；FDR 较弱但具轴线/机制支持，保留为 manual_review_weak_fdr。,manual_review_weak_fdr,pending_manual_swissadme,,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 THRB internal_control-associated synaptic/calcium/homeostatic-supportive program 的探索性候选线索，不解释为直接激动 THRB 即治疗。,False,False,True,False,THRB,THRB weak-FDR 或弱 FDR 手工复核候选。,False,0.741542676728172,0.006542676728171961,0.18,0.16,0.08,0.195,0.12,0.12,0.0,0.0,0.0,0.12,0.621542676728172,weak_fdr,retained_full_list,supplementary,保留在 supplementary/retained full list；未达到 v2.1 primary 或 supportive 门槛。
Retinoic acid,Retinoic acid,NFE2L2,0.607688547995051,0.4179435048444733,NFE2L2:2;BHLHE40:1,BHLHE40_supplement_program;NFE2L2_core_program;NFE2L2_regulon_targets,3,2,NFE2L2_regulon_targets,0.3103048371278322,2.671978679034571e-15,93.56728768915856,12,Retinoic acid CTD 00006918,DSigDB,thyroid/hormone,thyroid/hormone,0.65,requires_manual_translational_review,0.45,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.2464102344723857,1.0,1.0,0.9179435048444732,0.6413585507292736,,True,,medium_priority_prebbb,pending_manual_swissadme,,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 NFE2L2 lesion-associated transcriptional/stress-adaptation program 的探索性候选线索，不解释为直接抑制或激活 NFE2L2。,False,False,False,True,NFE2L2,CNS/epilepsy 转化语境不足或需人工核查。,False,0.6684352674758139,0.04928204689447714,0.18,0.16,0.052000000000000005,0.117,0.11015322058133678,0.0,0.0,0.0,0.18,0.18,0.48843526747581395,low_cns_epilepsy_relevance,retained_full_list,supplementary,保留在 supplementary/retained full list；未达到 v2.1 primary 或 supportive 门槛。
METHYL METHANESULFONATE,METHYL METHANESULFONATE,NFE2L2,0.5382521693624777,0.5382521693624777,NFE2L2:2,NFE2L2_core_program;NFE2L2_regulon_targets,2,2,NFE2L2_regulon_targets,0.2273280018504613,9.336447295725728e-08,39.48237373024344,38,METHYL METHANESULFONATE CTD 00006307,DSigDB,未自动识别；需人工核实,unknown,0.3,requires_manual_translational_review,0.45,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.1081694075323322,1.0,1.0,1.0,0.5574508222596997,,True,,medium_priority_prebbb,pending_manual_swissadme,,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 NFE2L2 lesion-associated transcriptional/stress-adaptation program 的探索性候选线索，不解释为直接抑制或激活 NFE2L2。,False,False,False,True,NFE2L2,CNS/epilepsy 转化语境不足或需人工核查。,False,0.6226338815064665,0.021633881506466442,0.18,0.16,0.024,0.117,0.12,0.0,0.0,0.0,0.18,0.18,0.4426338815064665,low_cns_epilepsy_relevance,retained_full_list,supplementary,保留在 supplementary/retained full list；未达到 v2.1 primary 或 supportive 门槛。
hydrogen peroxide,hydrogen peroxide,NFE2L2,0.5330165830648812,0.5330165830648812,NFE2L2:2,NFE2L2_core_program;NFE2L2_regulon_targets,2,2,NFE2L2_regulon_targets,0.2199782423822768,4.3485212992669364e-07,37.66642155417259,48,hydrogen peroxide CTD 00006118,DSigDB,未自动识别；需人工核实,unknown,0.3,requires_manual_translational_review,0.45,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.0973922639901965,1.0,1.0,1.0,0.5542176791970589,,True,,medium_priority_prebbb,pending_manual_swissadme,,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 NFE2L2 lesion-associated transcriptional/stress-adaptation program 的探索性候选线索，不解释为直接抑制或激活 NFE2L2。,False,False,False,True,NFE2L2,CNS/epilepsy 转化语境不足或需人工核查。,False,0.6204784527980394,0.0194784527980393,0.18,0.16,0.024,0.117,0.12,0.0,0.0,0.0,0.18,0.18,0.4404784527980394,low_cns_epilepsy_relevance,retained_full_list,supplementary,保留在 supplementary/retained full list；未达到 v2.1 primary 或 supportive 门槛。
resveratrol,resveratrol,BHLHE40,0.1453747560033708,0.1453747560033708,BHLHE40:1,BHLHE40_supplement_program,1,0,BHLHE40_supplement_program,0.1807831752255776,0.0015904848071954,28.88848632083977,30,resveratrol CTD 00002483,DSigDB,redox/stress-adaptation,redox/stress-adaptation,1.0,mechanistically_interpretable_modulator,0.75,False,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.0403666494981688,0.5,0.35,0.6453747560033709,0.4517399753297203,,False,,low_priority_retained,pending_manual_swissadme,,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,BHLHE40 仅作为补充轴线索，不进入主文主药物推荐。,False,False,False,False,supplementary,auto_v21_default,False,0.5065183006200382,0.00807332989963376,0.09,0.055999999999999994,0.08,0.195,0.0774449707204045,0.0,0.1,0.0,0.0,0.1,0.40651830062003824,single_signature,retained_full_list,supplementary,保留在 supplementary/retained full list；未达到 v2.1 primary 或 supportive 门槛。
cyclosporin A,cyclosporin A,NFE2L2,0.3365140167833651,0.1675799195220783,NFE2L2:1;BHLHE40:1,BHLHE40_supplement_program;NFE2L2_regulon_targets,2,1,NFE2L2_regulon_targets,0.1257294656641774,1.3046773458148909e-07,37.13823358402146,42,cyclosporin A CTD 00007121,DSigDB,未自动识别；需人工核实,unknown,0.3,requires_manual_translational_review,0.45,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.1048637224312324,1.0,1.0,0.6675799195220784,0.5298655102911359,,True,,medium_priority_prebbb,pending_manual_swissadme,,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 NFE2L2 lesion-associated transcriptional/stress-adaptation program 的探索性候选线索，不解释为直接抑制或激活 NFE2L2。,False,False,False,True,NFE2L2,CNS/epilepsy 转化语境不足或需人工核查。,False,0.5820823348288959,0.020972744486246482,0.18,0.16,0.024,0.117,0.0801095903426494,0.0,0.0,0.0,0.18,0.18,0.40208233482889594,low_cns_epilepsy_relevance,retained_full_list,supplementary,保留在 supplementary/retained full list；未达到 v2.1 primary 或 supportive 门槛。
DL-Glutamic acid,DL-Glutamic acid,THRB,0.6864215097399661,0.6864215097399661,THRB:2,THRB_core_program;THRB_regulon_targets,2,2,THRB_core_program,0.1589990391098136,0.1520216827430066,662.6705253310397,6,DL-Glutamic acid TTD 00007645,DSigDB,未自动识别；需人工核实,unknown,0.3,requires_manual_translational_review,0.45,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.3237826947644516,1.0,1.0,1.0,0.6221348084293354,,True,THRB gene set 较小；FDR 较弱但具轴线/机制支持，保留为 manual_review_weak_fdr。,manual_review_weak_fdr,pending_manual_swissadme,,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 THRB internal_control-associated synaptic/calcium/homeostatic-supportive program 的探索性候选线索，不解释为直接激动 THRB 即治疗。,False,False,True,True,THRB,THRB weak-FDR 或弱 FDR 手工复核候选。 CNS/epilepsy 转化语境不足或需人工核查。,False,0.6657565389528903,0.06475653895289032,0.18,0.16,0.024,0.117,0.12,0.12,0.0,0.0,0.18,0.3,0.36575653895289034,weak_fdr;low_cns_epilepsy_relevance,retained_full_list,supplementary,保留在 supplementary/retained full list；未达到 v2.1 primary 或 supportive 门槛。
irinotecan,irinotecan,NFE2L2,0.9486306701019732,0.8038741070683717,NFE2L2:2;BHLHE40:1,BHLHE40_supplement_program;NFE2L2_core_program;NFE2L2_regulon_targets,3,2,NFE2L2_regulon_targets,0.6342822512664014,3.3097511323192323e-40,635.2731739728277,2,irinotecan PC3 DOWN,DSigDB,broad_cytotoxic/topoisomerase,broad_cytotoxic/topoisomerase,0.65,oncology_or_broad_cytotoxic_caution,0.15,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.8820245075914801,1.0,1.0,1.0,0.796607352277444,因毒性/广谱细胞毒性/滥用风险/工具化合物属性，仅保留在补充表，不进入 pre-BBB 主表。,False,,mechanistic_reference_only_excluded_from_main,pending_manual_swissadme,,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 NFE2L2 lesion-associated transcriptional/stress-adaptation program 的探索性候选线索，不解释为直接抑制或激活 NFE2L2。,True,False,False,True,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。,False,0.7274049015182961,0.17640490151829602,0.18,0.16,0.052000000000000005,0.039,0.12,0.0,0.0,0.2,0.18,0.38,0.34740490151829606,tool_or_broad_epigenetic;low_cns_epilepsy_relevance,retained_full_list,supplementary,保留在 supplementary/retained full list；未达到 v2.1 primary 或 supportive 门槛。
1-Methyl-5-(3-pyridinyl)-2-pyrrolidinone,1-Methyl-5-(3-pyridinyl)-2-pyrrolidinone,THRB,0.616694409794415,0.616694409794415,THRB:2,THRB_core_program;THRB_regulon_targets,2,2,THRB_core_program,0.1589990391098136,0.1520216827430066,435.94063546940737,10,1-Methyl-5-(3-pyridinyl)-2-pyrrolidinone CTD 00005713,DSigDB,未自动识别；需人工核实,unknown,0.3,requires_manual_translational_review,0.45,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.2119159466982393,1.0,1.0,1.0,0.5885747840094717,,True,THRB gene set 较小；FDR 较弱但具轴线/机制支持，保留为 manual_review_weak_fdr。,manual_review_weak_fdr,pending_manual_swissadme,,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 THRB internal_control-associated synaptic/calcium/homeostatic-supportive program 的探索性候选线索，不解释为直接激动 THRB 即治疗。,False,False,True,True,THRB,THRB weak-FDR 或弱 FDR 手工复核候选。 CNS/epilepsy 转化语境不足或需人工核查。,False,0.6433831893396479,0.04238318933964786,0.18,0.16,0.024,0.117,0.12,0.12,0.0,0.0,0.18,0.3,0.3433831893396479,weak_fdr;low_cns_epilepsy_relevance,retained_full_list,supplementary,保留在 supplementary/retained full list；未达到 v2.1 primary 或 supportive 门槛。
inositol 1-phosphate,inositol 1-phosphate,THRB,0.575331275388623,0.575331275388623,THRB:2,THRB_core_program;THRB_regulon_targets,2,2,THRB_core_program,0.1589990391098136,0.1520216827430066,301.441152263015,14,inositol 1-phosphate BOSS,DSigDB,未自动识别；需人工核实,unknown,0.3,requires_manual_translational_review,0.45,True,v2 自动聚合注释；仅代表 program-guided exploratory clue，不代表治疗推荐。,0.1455549573638931,1.0,1.0,1.0,0.5686664872091679,,True,THRB gene set 较小；FDR 较弱但具轴线/机制支持，保留为 manual_review_weak_fdr。,manual_review_weak_fdr,pending_manual_swissadme,,v2 pre-BBB 阶段不使用启发式 BBB；等待 SwissADME 手工复核。,围绕 THRB internal_control-associated synaptic/calcium/homeostatic-supportive program 的探索性候选线索，不解释为直接激动 THRB 即治疗。,False,False,True,True,THRB,THRB weak-FDR 或弱 FDR 手工复核候选。 CNS/epilepsy 转化语境不足或需人工核查。,False,0.6301109914727786,0.02911099147277862,0.18,0.16,0.024,0.117,0.12,0.12,0.0,0.0,0.18,0.3,0.3301109914727786,weak_fdr;low_cns_epilepsy_relevance,retained_full_list,supplementary,保留在 supplementary/retained full list；未达到 v2.1 primary 或 supportive 门槛。
