compound,tool_compound_like,broad_epigenetic_modulator_like,weak_fdr_manual_review,low_cns_epilepsy_relevance,axis_preference,notes
GDC-0941,true,false,true,true,THRB,工具化合物/高风险或需人工复核类别。 THRB weak-FDR 或弱 FDR 手工复核候选。 CNS/epilepsy 转化语境不足或需人工核查。
GNF-PF-2812,true,false,false,true,supplementary,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
GW-8510,true,false,false,true,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
Gabapentin enacarbil,false,false,true,false,THRB,THRB weak-FDR 或弱 FDR 手工复核候选。
H-7,false,false,false,true,NFE2L2,CNS/epilepsy 转化语境不足或需人工核查。
IRON,false,false,false,true,supplementary,CNS/epilepsy 转化语境不足或需人工核查。
Irinotecan hydrochloride,true,false,false,true,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
MEMANTINE HYDROCHLORIDE,false,false,true,false,THRB,THRB weak-FDR 或弱 FDR 手工复核候选。
METHAMPHETAMINE,true,false,true,true,THRB,工具化合物/高风险或需人工复核类别。 THRB weak-FDR 或弱 FDR 手工复核候选。 CNS/epilepsy 转化语境不足或需人工核查。
METHYL METHANESULFONATE,false,false,false,true,NFE2L2,CNS/epilepsy 转化语境不足或需人工核查。
MPEP,true,false,true,true,THRB,工具化合物/高风险或需人工复核类别。 THRB weak-FDR 或弱 FDR 手工复核候选。 CNS/epilepsy 转化语境不足或需人工核查。
MPTP,true,false,true,true,THRB,工具化合物/高风险或需人工复核类别。 THRB weak-FDR 或弱 FDR 手工复核候选。 CNS/epilepsy 转化语境不足或需人工核查。
MS-275,false,true,false,false,NFE2L2,HDAC/表观遗传调节倾向，作为机制线索保守后移。
Medroxyprogesterone acetate,false,false,false,true,supplementary,CNS/epilepsy 转化语境不足或需人工核查。
Methaneseleninic acid,false,false,false,true,NFE2L2,CNS/epilepsy 转化语境不足或需人工核查。
NICKEL SULFATE,true,false,false,true,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
POTASSIUM CHROMATE,true,false,false,true,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
Pregabalin,false,false,true,false,THRB,THRB weak-FDR 或弱 FDR 手工复核候选。
Quisqualate,true,false,true,true,THRB,工具化合物/高风险或需人工复核类别。 THRB weak-FDR 或弱 FDR 手工复核候选。 CNS/epilepsy 转化语境不足或需人工核查。
Retinoic acid,false,false,false,true,NFE2L2,CNS/epilepsy 转化语境不足或需人工核查。
Roflumilast,false,false,true,false,THRB,THRB weak-FDR 或弱 FDR 手工复核候选。
S-(+)-Rolipram,false,false,true,false,THRB,THRB weak-FDR 或弱 FDR 手工复核候选。
Silica,true,false,true,true,THRB,工具化合物/高风险或需人工复核类别。 THRB weak-FDR 或弱 FDR 手工复核候选。 CNS/epilepsy 转化语境不足或需人工核查。
TERT-BUTYL HYDROPEROXIDE,true,false,false,true,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
Tetradioxin,true,false,false,true,supplementary,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
Torcetrapib,true,false,false,true,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
VALPROIC ACID,false,false,false,false,NFE2L2,已知 CNS/抗癫痫相关药物背景；不按 pan-HDAC 工具化合物处理。
VITAMIN E,false,false,false,true,NFE2L2,CNS/epilepsy 转化语境不足或需人工核查。
ZINC,false,false,false,true,NFE2L2,CNS/epilepsy 转化语境不足或需人工核查。
"[6-[6-(butanoylamino)purin-9-yl]-2-hydroxy-2-oxo-4a,6,7,7a-tetrahydro-4H-furo[3,2-d][1,3,2]dioxaphosphinin-7-yl] butanoate",false,false,false,true,supplementary,CNS/epilepsy 转化语境不足或需人工核查。
acetaminophen,true,false,false,true,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
alprostadil,true,false,false,true,supplementary,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
alsterpaullone,true,false,false,true,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
amlexanox,true,false,false,true,supplementary,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
anisomycin,true,false,false,true,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
atovaquone,true,false,false,true,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
atrazine,true,false,true,true,THRB,工具化合物/高风险或需人工复核类别。 THRB weak-FDR 或弱 FDR 手工复核候选。 CNS/epilepsy 转化语境不足或需人工核查。
benzene,true,false,false,true,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
benzo[a]pyrene,true,false,false,true,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
calcitriol,true,false,false,true,supplementary,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
camptothecin,true,false,false,true,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
captopril,true,false,false,true,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
carbamazepine,true,false,false,true,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
cefalotin,true,false,true,true,THRB,工具化合物/高风险或需人工复核类别。 THRB weak-FDR 或弱 FDR 手工复核候选。 CNS/epilepsy 转化语境不足或需人工核查。
cephaeline,true,false,false,true,supplementary,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
chlorpromazine,true,false,true,true,THRB,工具化合物/高风险或需人工复核类别。 THRB weak-FDR 或弱 FDR 手工复核候选。 CNS/epilepsy 转化语境不足或需人工核查。
chlorzoxazone,true,false,false,true,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
ciclopirox,true,false,false,true,supplementary,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
clindamycin,true,false,false,true,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
cycloheximide,true,false,false,true,supplementary,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
cyclosporin A,false,false,false,true,NFE2L2,CNS/epilepsy 转化语境不足或需人工核查。
danazol,true,false,false,true,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
daunorubicin,true,false,false,true,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
dextroamphetamine,true,false,true,true,THRB,工具化合物/高风险或需人工复核类别。 THRB weak-FDR 或弱 FDR 手工复核候选。 CNS/epilepsy 转化语境不足或需人工核查。
dinoprost,true,false,true,true,THRB,工具化合物/高风险或需人工复核类别。 THRB weak-FDR 或弱 FDR 手工复核候选。 CNS/epilepsy 转化语境不足或需人工核查。
dipyridamole,false,false,true,false,THRB,THRB weak-FDR 或弱 FDR 手工复核候选。
doxorubicin,true,false,false,true,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
emetine,true,false,false,true,supplementary,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
estradiol,true,false,false,true,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
ethaverine,true,false,true,true,THRB,工具化合物/高风险或需人工复核类别。 THRB weak-FDR 或弱 FDR 手工复核候选。 CNS/epilepsy 转化语境不足或需人工核查。
etifenin,true,false,false,true,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
etilefrine,true,false,true,true,THRB,工具化合物/高风险或需人工复核类别。 THRB weak-FDR 或弱 FDR 手工复核候选。 CNS/epilepsy 转化语境不足或需人工核查。
formaldehyde,true,false,false,true,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
gabapentin,false,false,true,false,THRB,THRB weak-FDR 或弱 FDR 手工复核候选。
hydrogen peroxide,false,false,false,true,NFE2L2,CNS/epilepsy 转化语境不足或需人工核查。
indomethacin,true,false,false,true,supplementary,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
inositol 1-phosphate,false,false,true,true,THRB,THRB weak-FDR 或弱 FDR 手工复核候选。 CNS/epilepsy 转化语境不足或需人工核查。
ipratropium bromide,false,false,false,true,supplementary,CNS/epilepsy 转化语境不足或需人工核查。
irinotecan,true,false,false,true,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
kainic acid,false,false,true,true,THRB,THRB weak-FDR 或弱 FDR 手工复核候选。 CNS/epilepsy 转化语境不足或需人工核查。
ketamine,true,false,true,true,THRB,工具化合物/高风险或需人工复核类别。 THRB weak-FDR 或弱 FDR 手工复核候选。 CNS/epilepsy 转化语境不足或需人工核查。
levodopa,true,false,true,true,THRB,工具化合物/高风险或需人工复核类别。 THRB weak-FDR 或弱 FDR 手工复核候选。 CNS/epilepsy 转化语境不足或需人工核查。
lobeline,false,false,false,false,NFE2L2,auto_v21_default
luteolin,true,false,false,true,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
lycorine,true,false,false,true,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
mebendazole,true,false,false,true,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
menadione,true,false,false,true,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
niclosamide,true,false,false,true,supplementary,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
nifedipine,false,false,true,false,THRB,THRB weak-FDR 或弱 FDR 手工复核候选。
nocodazole,true,false,false,true,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
papaverine,false,false,true,false,THRB,THRB weak-FDR 或弱 FDR 手工复核候选。
parthenolide,true,false,false,true,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
pentoxifylline,false,false,true,false,THRB,THRB weak-FDR 或弱 FDR 手工复核候选。
phenoxybenzamine,true,false,true,true,THRB,工具化合物/高风险或需人工复核类别。 THRB weak-FDR 或弱 FDR 手工复核候选。 CNS/epilepsy 转化语境不足或需人工核查。
podophyllotoxin,true,false,false,true,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
pregnenolone,true,false,false,true,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
primaquine,true,false,false,true,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
puromycin,true,false,false,true,supplementary,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
quercetin,false,false,false,false,NFE2L2,auto_v21_default
raloxifene,true,false,false,true,supplementary,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
resveratrol,false,false,false,false,supplementary,auto_v21_default
rolipram,false,false,true,false,THRB,THRB weak-FDR 或弱 FDR 手工复核候选。
sanguinarine,true,false,false,true,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
scopolamine,false,false,false,false,NFE2L2,auto_v21_default
scriptaid,false,true,false,false,NFE2L2,HDAC/表观遗传调节倾向，作为机制线索保守后移。
strophanthidin,true,false,false,true,supplementary,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
sulpiride,true,false,false,true,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
tamoxifen,true,false,false,true,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
testosterone enanthate,false,false,false,true,supplementary,CNS/epilepsy 转化语境不足或需人工核查。
thapsigargin,true,false,false,true,THRB,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
trequinsin,true,false,true,true,THRB,工具化合物/高风险或需人工复核类别。 THRB weak-FDR 或弱 FDR 手工复核候选。 CNS/epilepsy 转化语境不足或需人工核查。
trichostatin A,false,true,false,false,NFE2L2,HDAC/表观遗传调节倾向，作为机制线索保守后移。
valinomycin,true,false,true,true,THRB,工具化合物/高风险或需人工复核类别。 THRB weak-FDR 或弱 FDR 手工复核候选。 CNS/epilepsy 转化语境不足或需人工核查。
vorinostat,true,true,false,true,NFE2L2,工具化合物/高风险或需人工复核类别。 HDAC/表观遗传调节倾向，作为机制线索保守后移。 CNS/epilepsy 转化语境不足或需人工核查。
zalcitabine,true,false,false,true,NFE2L2,工具化合物/高风险或需人工复核类别。 CNS/epilepsy 转化语境不足或需人工核查。
zaprinast,false,false,true,false,THRB,THRB weak-FDR 或弱 FDR 手工复核候选。
zardaverine,true,false,true,true,THRB,工具化合物/高风险或需人工复核类别。 THRB weak-FDR 或弱 FDR 手工复核候选。 CNS/epilepsy 转化语境不足或需人工核查。
